cycle,rOM,dOM,sOM
0,1560.0,0.0,0.0
1,1522.3000000000004,0.14500000000000005,29.0
2,1446.9,27.69499999999998,64.66999999999996
3,1371.5,50.89500000000001,104.69
4,1296.0999999999997,74.09500000000003,144.70999999999998
5,1220.6999999999998,97.295,184.73000000000008
6,1149.2,116.59500000000003,224.75
7,1075.1000000000004,136.845,266.0349999999999
8,999.6999999999999,160.49499999999995,305.1849999999999
9,950.3,156.115,345.1849999999998
10,882.6999999999999,169.815,386.10499999999996
11,817.7,179.96499999999997,428.8899999999999
12,751.3999999999999,200.065,460.905
13,695.5,214.51499999999996,489.5350000000002
14,639.6,226.36499999999995,518.675
15,575.9,254.165,547.8750000000001
16,525.2,258.86499999999995,576.155
17,467.99999999999994,275.5399999999999,606.2949999999998
18,414.70000000000005,283.9899999999999,636.0349999999997
19,361.40000000000003,289.2899999999999,663.105
20,321.1,296.69499999999994,688.1550000000002
21,292.5,285.2949999999999,713.2699999999996
22,269.1,268.84499999999986,737.0
23,257.4,244.7449999999999,752.0300000000001
24,244.4,222.04499999999993,766.3099999999998
25,234.00000000000003,200.3949999999999,778.3400000000003
26,219.70000000000002,182.5449999999999,788.7850000000003
27,201.5,172.3449999999999,795.4449999999999
28,178.10000000000002,170.6449999999999,798.855
